5500,1000,1982
6000,1000,2260
6500,1000,2549
7000,1000,2840
7500,1000,3220
8000,1000,3781
8500,1000,4113
9000,1000,4841
9500,1000,5032
10000,1000,5479
10500,1000,5847
11000,1000,6496
11500,1000,6840
12000,1000,7378
12500,1000,8119
13000,1000,8542
13500,1000,9338
14000,1000,10159
14500,1000,10533
15000,1000,11314
1000,2000,226
1500,2000,490
2000,2000,473
2500,2000,688
3000,2000,873
3500,2000,1120
4000,2000,1179
4500,2000,1508
5000,2000,1676
5500,2000,1924
6000,2000,2335
6500,2000,2567
7000,2000,2849
7500,2000,3207
8000,2000,3724
8500,2000,4139
9000,2000,4550
9500,2000,5019
10000,2000,5408
10500,2000,6005
11000,2000,6497
11500,2000,6950
12000,2000,7429
12500,2000,8041
13000,2000,8865
13500,2000,9145
14000,2000,9820
14500,2000,10367
15000,2000,11127
1000,0,214
1500,0,310
2000,0,460
2500,0,634
3000,0,783
3500,0,743
4000,0,1227
4500,0,1716
5000,0,998
5500,0,2098
6000,0,2487
6500,0,3158
7000,0,3415
7500,0,3456
8000,0,2185
8500,0,1716
9000,0,2451
9500,0,6923
10000,0,6737
10500,0,8538
11000,0,4984
11500,0,9151
12000,0,3837
12500,0,10055
13000,0,10871
13500,0,10293
14000,0,13494
14500,0,4412
15000,0,15942
1000,1,234
1500,1,390
2000,1,518
2500,1,722
3000,1,912
3500,1,1160
4000,1,1447
4500,1,1833
5000,1,2192
5500,1,2742
6000,1,3274
6500,1,3682
7000,1,4261
7500,1,4601
8000,1,5495
8500,1,5977
9000,1,6822
9500,1,7920
10000,1,8520
10500,1,9002
11000,1,10180
11500,1,10653
12000,1,13550
12500,1,17092
13000,1,18493
13500,1,20284
14000,1,19679
14500,1,22717
15000,1,22170
1000,2,315
1500,2,496
2000,2,749
2500,2,1117
3000,2,1078
3500,2,1882
4000,2,2055
4500,2,1872
5000,2,3053
5500,2,3561
6000,2,3176
6500,2,4887
7000,2,4243
7500,2,4865
8000,2,4524
8500,2,5021
9000,2,6092
9500,2,6284
10000,2,6862
10500,2,7331
11000,2,8031
11500,2,9176
12000,2,10431
12500,2,10324
13000,2,10902
13500,2,11559
14000,2,12586
14500,2,13152
15000,2,14345
1000,10,216
1500,10,405
2000,10,453
2500,10,667
3000,10,841
3500,10,965
4000,10,1161
4500,10,1585
5000,10,1742
5500,10,1942
6000,10,2219
6500,10,2610
7000,10,2923
7500,10,3256
8000,10,3651
8500,10,4205
9000,10,4638
9500,10,5031
10000,10,5552
10500,10,6076
11000,10,6520
11500,10,7223
12000,10,7625
12500,10,8550
13000,10,8921
13500,10,9607
14000,10,10198
14500,10,10849
15000,10,11556
1000,100,219
1500,100,452
2000,100,524
2500,100,716
3000,100,782
3500,100,959
4000,100,1135
4500,100,1412
5000,100,1643
5500,100,1891
6000,100,2194
6500,100,2691
7000,100,2829
7500,100,3154
8000,100,3834
8500,100,4045
9000,100,4417
9500,100,4931
10000,100,5371
10500,100,5830
11000,100,6497
11500,100,6813
12000,100,7483
12500,100,7993
13000,100,8472
13500,100,9167
14000,100,13658
14500,100,13012
15000,100,15770
1000,1000,342
1500,1000,538
2000,1000,740
2500,1000,658
3000,1000,1204
3500,1000,1383
4000,1000,1208
4500,1000,2089
5000,1000,2915
5500,1000,1932
6000,1000,2481
6500,1000,3188
7000,1000,3181
7500,1000,4222
8000,1000,5630
8500,1000,5019
9000,1000,6989
9500,1000,6426
10000,1000,5856
10500,1000,8411
11000,1000,7184
11500,1000,10460
12000,1000,7936
12500,1000,11133
13000,1000,8687
13500,1000,9297
14000,1000,9957
14500,1000,10549
15000,1000,11774
1000,2000,265
1500,2000,357
2000,2000,474
2500,2000,668
3000,2000,813
3500,2000,1039
4000,2000,1176
4500,2000,1473
5000,2000,1725
5500,2000,1919
6000,2000,2226
6500,2000,2499
7000,2000,2795
7500,2000,3223
8000,2000,3664
8500,2000,4217
9000,2000,4532
9500,2000,5136
10000,2000,5491
10500,2000,5975
11000,2000,6476
11500,2000,6943
12000,2000,7598
12500,2000,8001
13000,2000,8659
13500,2000,9274
14000,2000,9826
14500,2000,10695
15000,2000,11275
1000,0,222
1500,0,289
2000,0,441
2500,0,648
3000,0,839
3500,0,763
4000,0,1131
4500,0,1716
5000,0,1010
5500,0,2074
6000,0,2451
6500,0,3093
7000,0,3392
7500,0,3417
8000,0,2391
8500,0,1699
9000,0,2472
9500,0,6052
10000,0,6719
10500,0,8558
11000,0,5109
11500,0,8990
12000,0,4087
12500,0,10390
13000,0,11092
13500,0,10242
14000,0,13318
14500,0,4319
15000,0,16245
1000,1,235
1500,1,386
2000,1,536
2500,1,745
3000,1,945
3500,1,1158
4000,1,1393
4500,1,1764
5000,1,2201
5500,1,3032
6000,1,3384
6500,1,3657
7000,1,4258
7500,1,5137
8000,1,5298
8500,1,6258
9000,1,6746
9500,1,8169
10000,1,8829
10500,1,8889
11000,1,10236
11500,1,10750
