Size,Seconds,Real,User,Sys
1000000	0.285795	0.61	0.59	0.00
1000	0.000284	0.00	0.00	0.00
100000	0.031692	0.10	0.09	0.00
4999996	1.469213	3.08	2.95	0.03
3999997	1.165696	2.37	2.31	0.02
2999998	0.872638	1.78	1.73	0.01
10000	0.003069	0.01	0.00	0.00
9999991	2.912042	5.92	5.79	0.05
1999999	0.586897	1.18	1.15	0.01
1000000	0.294406	0.60	0.58	0.00
1000	0.000278	0.00	0.00	0.00
100000	0.033154	0.09	0.08	0.00
4999996	1.458231	2.96	2.89	0.02
3999997	1.153517	2.35	2.31	0.02
2999998	0.879942	1.79	1.74	0.01
10000	0.002930	0.01	0.00	0.00
9999991	2.954773	5.93	5.77	0.05
1999999	0.586259	1.18	1.16	0.01
1000000	0.289737	0.60	0.58	0.00
1000	0.000291	0.00	0.00	0.00
100000	0.044923	0.10	0.09	0.00
4999996	1.508295	3.04	2.94	0.03
3999997	1.174984	2.37	2.32	0.02
2999998	0.871916	1.78	1.73	0.02
10000	0.003187	0.01	0.01	0.00
9999991	2.921205	5.92	5.78	0.05
1999999	0.590678	1.20	1.17	0.01
1000000	0.293848	0.61	0.58	0.01
1000	0.000279	0.00	0.00	0.00
100000	0.033022	0.09	0.08	0.00
4999996	1.445114	2.97	2.90	0.03
3999997	1.187213	2.38	2.33	0.02
2999998	0.867876	1.78	1.73	0.01
10000	0.002988	0.01	0.01	0.00
9999991	2.922926	5.94	5.81	0.05
1999999	0.581656	1.18	1.15	0.01
1000000	0.299101	0.59	0.57	0.00
1000	0.000280	0.00	0.00	0.00
100000	0.031007	0.09	0.08	0.00
4999996	1.456488	3.15	2.95	0.03
3999997	1.170349	2.36	2.31	0.02
2999998	0.873353	1.77	1.73	0.02
10000	0.003056	0.01	0.00	0.00
9999991	2.950233	5.92	5.80	0.05
1999999	0.579595	1.18	1.15	0.01
1000000	0.283177	0.60	0.58	0.00
